age,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.07051023,0.07175885,0.07294357,0.07382944,0.07426777,0.07424012,0.07368262,0.07266053,0.0711282,0.06895834,0.06651876,0.06375711,0.06081663,0.05770921,0.05465538,0.05161547,0.04881565,0.04619853,0.04391907,0.04194417,0.04042012,0.03911991,0.03811755,0.03725709,0.03639924,0.03562736,0.03485871,0.03414361,0.03346711,0.03281387,0.03224241,0.03193787,0.03097212,0.03043928,0.02979241
1,0.01607735,0.01653348,0.01696759,0.01730048,0.01745025,0.01744118,0.01721845,0.01681769,0.01624551,0.01538038,0.01445087,0.01348253,0.01247428,0.01152949,0.01059647,0.00969352,0.00895973,0.0082463,0.00768163,0.0071849,0.0067325,0.00633339,0.00601143,0.00584096,0.00560821,0.00546346,0.00530835,0.0051914,0.00514232,0.0050918,0.00604333,0.00615506,0.0049406,0.00493332,0.00482428
2,0.00983433,0.010133,0.01043635,0.01065398,0.01076933,0.01077212,0.0106502,0.01042625,0.01010004,0.00956889,0.00902093,0.00841916,0.00782702,0.00723658,0.00665864,0.00610498,0.00564567,0.00522217,0.00486835,0.00455754,0.00426666,0.00402368,0.00382358,0.00371409,0.00356666,0.00347131,0.00337183,0.00329948,0.00326484,0.0032344,0.00482674,0.00484659,0.00313887,0.00312809,0.00305905
3,0.00664689,0.00684341,0.0070437,0.0071822,0.00725212,0.00724869,0.00716061,0.00701543,0.00680628,0.00644524,0.00606248,0.00567992,0.00525977,0.00487392,0.00449405,0.00412799,0.00382291,0.00354116,0.00330761,0.00310119,0.00290768,0.00274767,0.00261643,0.0025428,0.00244509,0.00238117,0.00231359,0.00226575,0.00223933,0.00221793,0.00385902,0.00386923,0.00215218,0.00214341,0.00209611
4,0.00461818,0.00475066,0.00488968,0.00497948,0.00502649,0.00502183,0.00496022,0.00486955,0.00473724,0.00448955,0.00421535,0.0039767,0.00367507,0.00341805,0.0031662,0.00291958,0.00271427,0.00252294,0.00236716,0.00222277,0.00209136,0.00198164,0.0018933,0.00184243,0.0017756,0.00173125,0.00168333,0.00165007,0.00162965,0.00161379,0.00291784,0.0029239,0.00156488,0.00155845,0.00152406
5,0.00344284,0.00353677,0.00363476,0.00369661,0.00372823,0.00372321,0.00367601,0.00361116,0.00351701,0.00333268,0.00312009,0.00295777,0.00271832,0.00253671,0.00235654,0.00217711,0.00202794,0.00188516,0.00177427,0.00166701,0.00157259,0.00149257,0.00142917,0.0013922,0.00134436,0.00131228,0.0012767,0.00125249,0.00123608,0.00122383,0.00203609,0.00202951,0.00118575,0.00118109,0.00115498
6,0.00281674,0.0028939,0.00297701,0.00302711,0.00305725,0.00305459,0.00301912,0.00297089,0.0028983,0.00275096,0.00257413,0.0024527,0.00225582,0.00211036,0.0019664,0.00182156,0.00170097,0.00158515,0.00149586,0.00140632,0.00132918,0.00126303,0.00121088,0.00118042,0.00114258,0.00111569,0.00108586,0.00106544,0.00105162,0.00104141,0.00141073,0.00138628,0.00100761,0.00100364,0.00098152
7,0.00237964,0.00244631,0.00252136,0.00256544,0.00259776,0.00259907,0.00257517,0.00254044,0.00248437,0.00236384,0.0022175,0.00212127,0.00195819,0.0018376,0.00171841,0.0015973,0.00149598,0.00139874,0.00132383,0.00124593,0.0011803,0.00112355,0.00107903,0.00105304,0.00102134,0.00099771,0.00097176,0.00095379,0.00094188,0.00093314,0.00110986,0.0010666,0.00090165,0.00089812,0.00087834
8,0.00207677,0.0021357,0.00220352,0.00224244,0.00227492,0.00227831,0.00226109,0.00223432,0.00218852,0.00208547,0.00195675,0.00187935,0.00173724,0.00163404,0.00153138,0.00142657,0.00133838,0.00125378,0.00118805,0.0011198,0.00106203,0.00101179,0.00097223,0.00094933,0.00092287,0.00090154,0.00087841,0.00086216,0.00085161,0.00084395,0.001024,0.00096472,0.00081435,0.00081101,0.00079318
9,0.00188061,0.00193452,0.00199737,0.00203332,0.00206673,0.00207213,0.00206012,0.00203837,0.00199883,0.00190774,0.0017909,0.00172547,0.00159652,0.00150517,0.00141307,0.00131869,0.00123867,0.00116169,0.00110161,0.00103989,0.00098713,0.00094113,0.0009046,0.00088362,0.00086081,0.00084086,0.00081962,0.00080434,0.00079478,0.00078785,0.00097647,0.00090465,0.00075921,0.00075586,0.00073925
10,0.00176523,0.00181649,0.00187733,0.00191133,0.00194603,0.00195239,0.00194346,0.00192544,0.00189026,0.00180758,0.00169761,0.00164109,0.00152149,0.00143729,0.00135215,0.00126454,0.00118978,0.00111808,0.00106193,0.00100351,0.0009537,0.00091032,0.00087543,0.00085554,0.00083519,0.00081594,0.00079586,0.00078097,0.00077197,0.00076541,0.00096479,0.00088292,0.00073695,0.00073331,0.00071722
11,0.00170533,0.00175555,0.00181675,0.00184979,0.00188596,0.00189281,0.00188598,0.00187145,0.00184011,0.00176372,0.00165965,0.0016089,0.00149751,0.00141741,0.00133701,0.00125401,0.00118285,0.00111526,0.00106165,0.00100466,0.00095664,0.000915,0.00088115,0.00086188,0.00084265,0.00082366,0.00080423,0.00078945,0.00078065,0.00077417,0.0009832,0.00089284,0.00074531,0.00074121,0.00072503
12,0.00172038,0.0017717,0.00183539,0.00186983,0.00190983,0.00191877,0.00191525,0.00190298,0.00187327,0.00179935,0.00169729,0.00164853,0.00153906,0.00145972,0.00137975,0.00129701,0.00122554,0.001158,0.00110409,0.00104585,0.00099721,0.00095505,0.00092062,0.00090106,0.00088197,0.00086225,0.00084238,0.00082708,0.00081823,0.00081153,0.00102513,0.00092691,0.000781,0.00077656,0.00075967
13,0.00178685,0.0018409,0.00190965,0.00194715,0.00199373,0.0020064,0.00200834,0.0019994,0.0019715,0.00189916,0.00179703,0.00175135,0.00164068,0.00156078,0.00147964,0.00139548,0.00132173,0.00125296,0.0011975,0.00113505,0.00108426,0.00103996,0.001004,0.00098369,0.00096452,0.00094301,0.00092164,0.00090547,0.00089616,0.00088886,0.00109852,0.0009931,0.00085503,0.00085031,0.00083188
14,0.00191234,0.00197105,0.00204802,0.00208969,0.00214527,0.00216227,0.00217053,0.00216588,0.00213987,0.00206846,0.00196223,0.00192216,0.00180706,0.00172488,0.00164145,0.00155446,0.00147677,0.00140622,0.00134929,0.00127783,0.00122356,0.00117568,0.0011372,0.0011159,0.00109701,0.00107268,0.00104891,0.00103169,0.00102138,0.00101297,0.00121191,0.0011,0.00097427,0.00096921,0.00094829
15,0.00207921,0.00214453,0.00223342,0.00228151,0.00234995,0.00237345,0.00239136,0.00239337,0.00237063,0.00230123,0.00219308,0.00215886,0.00204064,0.00195554,0.00186967,0.00177935,0.00169677,0.00162471,0.00156651,0.0014822,0.00142351,0.00137107,0.0013297,0.00130721,0.00128809,0.00125987,0.00123285,0.00121431,0.00120271,0.00119286,0.0013787,0.00126017,0.00114723,0.00114177,0.00111725
16,0.00229499,0.00236631,0.00246528,0.00251895,0.00259735,0.00262564,0.00265028,0.00265672,0.00263513,0.00256542,0.00245264,0.0024217,0.00229293,0.00220523,0.00211598,0.00202102,0.00193255,0.00185638,0.00179738,0.00169946,0.00163703,0.00158066,0.00153698,0.00151358,0.00149389,0.00146232,0.00143237,0.00141306,0.00139969,0.00138798,0.00156169,0.0014357,0.00133591,0.00132995,0.00130172
17,0.0025288,0.00260999,0.00272593,0.00278931,0.00288453,0.00292118,0.00295806,0.00297242,0.00295405,0.00288568,0.00277471,0.00274353,0.00261456,0.00252058,0.00242624,0.00232522,0.00222931,0.00215044,0.00208904,0.00197359,0.0019049,0.0018425,0.00179491,0.00176986,0.00174828,0.00171165,0.00167759,0.00165657,0.00164198,0.00162863,0.0017972,0.00166195,0.00156801,0.00156161,0.00152882
18,0.00277787,0.00286944,0.00300313,0.00307625,0.00319001,0.00323577,0.00328605,0.00330927,0.00329422,0.00322748,0.00311409,0.00308764,0.00295576,0.00285596,0.00275709,0.00265017,0.00254658,0.00246521,0.00240307,0.00226608,0.002191,0.00212169,0.00206961,0.00204347,0.00202194,0.00197977,0.00194125,0.00191877,0.00190272,0.00188749,0.00203752,0.00190786,0.00181726,0.00181082,0.00177319
19,0.00302026,0.0031235,0.00327603,0.00336114,0.00349302,0.00354867,0.00361273,0.00364373,0.00362958,0.0035613,0.00344899,0.0034177,0.00328488,0.00317353,0.00306481,0.00294833,0.00283354,0.00274899,0.00268166,0.00252227,0.00243767,0.00235911,0.00230154,0.00227322,0.0022482,0.00219921,0.00215486,0.00213064,0.00211335,0.00209652,0.00220367,0.00210302,0.00201858,0.00201307,0.00197165
20,0.00326783,0.00338506,0.00356037,0.00365965,0.00381317,0.00388035,0.00396077,0.0040012,0.00398865,0.00391885,0.00380962,0.00377157,0.0036447,0.00351799,0.00339727,0.00326969,0.0031422,0.00305563,0.00298107,0.00279695,0.00270044,0.00261063,0.00254583,0.00251469,0.00248551,0.00242849,0.00237743,0.00235067,0.00233256,0.00231437,0.00237165,0.00230873,0.00222776,0.00222327,0.00217787
21,0.00349222,0.00362256,0.00381919,0.00393064,0.00410238,0.00417832,0.0042711,0.00431936,0.00430815,0.00423596,0.00412868,0.00408319,0.00396534,0.00382202,0.00368915,0.00355116,0.00341242,0.00332521,0.00324237,0.00303804,0.00293049,0.0028307,0.00275884,0.002725,0.00269168,0.00262775,0.00257098,0.00254175,0.00252287,0.0025035,0.00251999,0.00248946,0.00240963,0.00240582,0.00235732
22,0.00370634,0.0038517,0.00407333,0.00419963,0.00439699,0.00448649,0.00459902,0.00465825,0.00465147,0.00458002,0.00448126,0.00442848,0.0043318,0.00417219,0.00402706,0.00387853,0.00372809,0.00364032,0.0035458,0.00332327,0.00320243,0.00309067,0.00300934,0.00297181,0.00293521,0.00286293,0.00279982,0.00276613,0.00274785,0.00272811,0.00272945,0.00271199,0.00262275,0.00261916,0.00256699
23,0.00388979,0.00404933,0.00429497,0.00443578,0.00465846,0.0047616,0.00489438,0.00496474,0.00496359,0.00489423,0.00480989,0.00474681,0.00467812,0.00450349,0.00434755,0.00418984,0.00402936,0.00394211,0.00383612,0.00359863,0.00346548,0.0033432,0.00325308,0.00321188,0.00317139,0.0030915,0.00302292,0.00298446,0.00296745,0.00294791,0.00295224,0.00293387,0.00283078,0.00282683,0.00277109
24,0.00406053,0.00423391,0.00450324,0.00465852,0.00490637,0.00502343,0.00517712,0.00525906,0.00526411,0.00519778,0.00513027,0.00505679,0.00501933,0.00482993,0.00466357,0.00449751,0.00432765,0.00424235,0.00412424,0.00387312,0.00372775,0.0035951,0.00349648,0.00345173,0.00340717,0.00331969,0.00324573,0.00320251,0.00318698,0.00316785,0.00317558,0.00315621,0.00303866,0.00303431,0.00297485
25,0.00422251,0.00441032,0.00470487,0.00487487,0.00515025,0.00528231,0.00545906,0.00555433,0.00556705,0.00550568,0.00545429,0.00537526,0.00537395,0.00516974,0.00499397,0.00482076,0.00464231,0.00456161,0.00443146,0.00416565,0.0040074,0.00386345,0.00375533,0.00370725,0.00366039,0.0035646,0.00348501,0.00343669,0.00342298,0.00340445,0.00341646,0.00339607,0.00326158,0.00325677,0.0031933
