age,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,957.329,967.759,975.092,988.054,1003.702,1031.272,1055.103,1082.408,1115.712,1142.184,1176.171,1214.527,1246.647,1272.534,1303.006,1334.62,1367.972,1404.65,1433.624,1452.416,1459.067,1447.725,1430.322,1411.838,1405.837,1408.077,1410.967,1411.923,1411.529,1402.806,1411.131,1427.737,1444.62,1461.379
1,918.765,928.846,938.38,944.618,957.155,971.866,998.968,1022.86,1050.698,1085.571,1113.531,1149.495,1188.641,1222.59,1250.331,1282.111,1315.295,1349.598,1387.872,1417.497,1435.729,1441.734,1431.3,1413.648,1394.943,1387.957,1394.685,1395.511,1393.872,1397.067,1390.73,1396.838,1417.155,1434.121
2,890.199,905.884,915.688,924.629,930.896,942.853,957.481,984.503,1008.646,1037.499,1072.951,1102.022,1137.993,1177.807,1212.441,1240.549,1272.957,1306.328,1341.491,1379.823,1408.749,1426.251,1432.686,1421.826,1403.849,1384.312,1380.578,1385.617,1384.349,1385.231,1388.706,1380.683,1390.744,1410.993
3,865.766,882.079,897.571,906.952,915.931,921.798,933.709,948.371,975.522,1000.466,1029.751,1065.947,1094.932,1131.355,1171.563,1206.304,1234.84,1267.277,1301.286,1336.432,1373.99,1402.091,1419.848,1425.772,1414.494,1395.687,1379.125,1373.834,1376.925,1377.959,1378.504,1380.443,1376.611,1386.66
4,837.549,860.258,876.469,891.617,901.061,909.696,915.565,927.503,942.326,970.09,995.38,1025.249,1061.281,1090.602,1127.292,1167.486,1202.498,1231.005,1263.933,1297.886,1332.215,1368.875,1397.14,1414.331,1419.742,1407.581,1391.659,1373.557,1366.358,1371.703,1372.583,1371.634,1377.461,1373.648
5,808.544,833.658,856.293,872.242,887.435,896.592,905.212,911.118,923.185,938.552,966.576,992.325,1022.05,1058.296,1087.817,1124.461,1164.833,1199.769,1228.668,1261.526,1294.627,1328.026,1364.803,1392.468,1409.092,1413.561,1404.255,1386.762,1366.754,1361.826,1367.592,1366.984,1369.329,1375.157
6,781.71,805.586,830.645,853.049,869.043,883.975,893.116,901.75,907.777,920.301,935.916,964.298,989.923,1019.823,1056.202,1085.678,1122.462,1162.743,1197.988,1226.825,1258.807,1290.953,1324.461,1360.614,1387.678,1403.329,1410.636,1399.728,1380.302,1362.592,1358.759,1363.039,1365.063,1367.412
7,753.853,779.317,803.151,828.01,850.433,866.2,881.097,890.243,898.966,905.39,918.126,934.06,962.321,988.095,1018.109,1054.426,1084.025,1120.729,1161.258,1196.435,1224.387,1255.396,1287.646,1320.525,1356.056,1382.121,1400.617,1406.282,1393.41,1376.298,1360.146,1354.853,1361.311,1363.339
8,730.305,751.862,777.287,800.954,825.817,848.028,863.759,878.64,887.857,896.91,903.526,916.534,932.382,960.759,986.63,1016.594,1053.003,1082.538,1119.452,1159.917,1194.201,1221.182,1252.289,1283.915,1316.171,1350.699,1379.582,1396.433,1400.128,1389.546,1374.105,1356.537,1353.267,1359.725
9,706.775,728.592,750.121,775.394,799.063,823.735,845.894,861.609,876.536,886.036,895.25,902.107,915.048,931.012,959.466,985.298,1015.346,1051.687,1081.412,1118.271,1157.859,1191.183,1218.261,1248.757,1279.775,1311.054,1348.323,1375.592,1390.51,1396.424,1387.448,1370.649,1355.056,1351.793
