Age,a_x,b_x
0,-3.034183,0.026782
1,-4.706131,0.039520
2,-5.124892,0.038215
3,-5.398724,0.036892
4,-5.589157,0.035670
5,-6.168298,0.034605
6,-6.325441,0.032890
7,-6.478902,0.031274
8,-6.628103,0.029758
9,-6.778034,0.028342
10,-6.928764,0.027026
11,-7.080293,0.025810
12,-7.232621,0.024694
13,-7.385748,0.023678
14,-7.539674,0.022762
15,-7.694399,0.021946
16,-7.849923,0.021230
17,-8.006246,0.020614
18,-8.163368,0.020098
19,-8.321289,0.019682
20,-8.480009,0.019366
21,-8.639528,0.019150
22,-8.799846,0.019034
23,-8.960963,0.019018
24,-9.122879,0.019102
25,-9.285594,0.019286
26,-9.449108,0.019570
27,-9.613421,0.019954
28,-9.778533,0.020438
29,-9.944444,0.021022
30,-10.111154,0.021706
31,-10.278663,0.022490
32,-10.446971,0.023374
33,-10.616078,0.024358
34,-10.785984,0.025442
35,-10.956689,0.026626
36,-11.128193,0.027910
37,-11.300496,0.029294
38,-11.473598,0.030778
39,-11.647499,0.032362
40,-11.822199,0.034046
41,-11.997698,0.035830
42,-12.173996,0.037714
43,-12.351093,0.039698
44,-12.528989,0.041782
45,-12.707684,0.043966
46,-12.887178,0.046250
47,-13.067471,0.048634
48,-13.248563,0.051118
49,-13.430454,0.053702
50,-13.613144,0.056386
51,-13.796633,0.059170
52,-13.980921,0.062054
53,-14.166008,0.065038
54,-14.351894,0.068122
55,-14.538579,0.071306
56,-14.726063,0.074590
57,-14.914346,0.077974
58,-15.103428,0.081458
59,-15.293309,0.085042
60,-15.483989,0.088726
61,-15.675468,0.092510
62,-15.867746,0.096394
63,-16.060823,0.100378
64,-16.254699,0.104462
65,-16.449374,0.108646
66,-16.644848,0.112930
67,-16.841121,0.117314
68,-17.038193,0.121798
69,-17.236064,0.126382
70,-17.434734,0.131066
71,-17.634203,0.135850
72,-17.834471,0.140734
73,-18.035538,0.145718
74,-18.237404,0.150802
75,-18.440069,0.155986
76,-18.643533,0.161270
77,-18.847796,0.166654
78,-19.052858,0.172138
79,-19.258719,0.177722
80,-19.465379,0.183406
81,-19.672838,0.189190
82,-19.881096,0.195074
83,-20.090153,0.201058
84,-20.300009,0.207142
85,-20.510664,0.213326
86,-20.722118,0.219610
87,-20.934371,0.225994
88,-21.147423,0.232478
89,-21.361274,0.239062
90,-21.575924,0.245746
91,-21.791373,0.252530
92,-22.007621,0.259414
93,-22.224668,0.266398
94,-22.442514,0.273482
95,-22.661159,0.280666
96,-22.880603,0.287950
97,-23.100846,0.295334
98,-23.321888,0.302818
99,-23.543729,0.310402
100,-23.766369,0.318086
