Age,2025,2026,2027,2028,2029,2030
0,0.051758,0.051924,0.052091,0.052259,0.052427,0.052595
1,0.010068,0.010116,0.010164,0.010212,0.010260,0.010309
2,0.006941,0.006982,0.007023,0.007064,0.007105,0.007146
3,0.005462,0.005499,0.005536,0.005573,0.005610,0.005647
4,0.004486,0.004519,0.004552,0.004585,0.004618,0.004651
5,0.002302,0.002312,0.002321,0.002341,0.002341,0.002350
6,0.001988,0.001995,0.002002,0.002015,0.002015,0.002022
7,0.001730,0.001735,0.001740,0.001751,0.001751,0.001756
8,0.001514,0.001518,0.001522,0.001531,0.001531,0.001535
9,0.001331,0.001334,0.001337,0.001345,0.001345,0.001348
10,0.001175,0.001177,0.001179,0.001186,0.001186,0.001188
11,0.001041,0.001043,0.001045,0.001051,0.001051,0.001053
12,0.000926,0.000928,0.000930,0.000935,0.000935,0.000937
13,0.000826,0.000828,0.000830,0.000835,0.000835,0.000837
14,0.000740,0.000742,0.000744,0.000748,0.000748,0.000750
15,0.000665,0.000667,0.000669,0.000673,0.000673,0.000675
16,0.000600,0.000602,0.000604,0.000608,0.000608,0.000610
17,0.000544,0.000546,0.000548,0.000551,0.000551,0.000553
18,0.000495,0.000497,0.000499,0.000502,0.000502,0.000504
19,0.000452,0.000454,0.000456,0.000459,0.000459,0.000461
20,0.003127,0.003133,0.003140,0.003152,0.003152,0.003159
21,0.003081,0.003087,0.003093,0.003105,0.003105,0.003111
22,0.003040,0.003046,0.003052,0.003064,0.003064,0.003070
23,0.003003,0.003009,0.003015,0.003027,0.003027,0.003033
24,0.002969,0.002975,0.002981,0.002993,0.002993,0.002999
25,0.002937,0.002943,0.002949,0.002961,0.002961,0.002967
26,0.002907,0.002913,0.002919,0.002931,0.002931,0.002937
27,0.002878,0.002884,0.002890,0.002902,0.002902,0.002908
28,0.002850,0.002856,0.002862,0.002874,0.002874,0.002880
29,0.002823,0.002829,0.002835,0.002847,0.002847,0.002853
30,0.002796,0.002802,0.002808,0.002820,0.002820,0.002826
31,0.002770,0.002776,0.002782,0.002794,0.002794,0.002800
32,0.002745,0.002751,0.002757,0.002769,0.002769,0.002775
33,0.002720,0.002726,0.002732,0.002744,0.002744,0.002750
34,0.002695,0.002701,0.002707,0.002719,0.002719,0.002725
35,0.002671,0.002677,0.002683,0.002695,0.002695,0.002701
36,0.002646,0.002652,0.002658,0.002670,0.002670,0.002676
37,0.002622,0.002628,0.002634,0.002646,0.002646,0.002652
38,0.002598,0.002604,0.002610,0.002622,0.002622,0.002628
39,0.009691,0.009698,0.009705,0.009712,0.009718,0.009725
40,0.009691,0.009698,0.009705,0.009712,0.009718,0.009725
41,0.009691,0.009698,0.009705,0.009712,0.009718,0.009725
42,0.009691,0.009698,0.009705,0.009712,0.009718,0.009725
43,0.009691,0.009698,0.009705,0.009712,0.009718,0.009725
44,0.009691,0.009698,0.009705,0.009712,0.009718,0.009725
45,0.009691,0.009698,0.009705,0.009712,0.009718,0.009725
46,0.009691,0.009698,0.009705,0.009712,0.009718,0.009725
47,0.009691,0.009698,0.009705,0.009712,0.009718,0.009725
48,0.009691,0.009698,0.009705,0.009712,0.009718,0.009725
49,0.009691,0.009698,0.009705,0.009712,0.009718,0.009725
50,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
51,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
52,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
53,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
54,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
55,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
56,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
57,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
58,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
59,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
60,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
61,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
62,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
63,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
64,0.026539,0.026543,0.026548,0.026552,0.026556,0.026561
65,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
66,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
67,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
68,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
69,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
70,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
71,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
72,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
73,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
74,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
75,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
76,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
77,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
78,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
79,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
80,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
81,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
82,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
83,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
84,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
85,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
86,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
87,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
88,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
89,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
90,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
91,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
92,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
93,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
94,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
95,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
96,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
97,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
98,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
99,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
100,0.101035,0.101096,0.101158,0.101219,0.101281,0.101343
